0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
16h50-17h40,,Ap. de provas - João Paulo 03/12,,,,,,,,,,,,,,,,,,,,,,,
18h00-18h50,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SALA DE AULA - 5o ANDAR - Capacidade: 40 lugares -SALA 508,,,,,,,,,,,,,,,,,,,,,,,,,
,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SÁBADO,,,,,,,,,,,,,,,,,,,
07h00-08h00,,,,,,,,,,,,,,,,,,,,,,,,,
08h00-08h50,Geotecnia 2,Divulgação e comun. em Eng Transp - NL,Avaliação socioec. e amb. de proj. sist. transp.,,Pedologia,,,,,,,,,,,,,,,,,,,,
08h50-09h40,Geotecnia 2,Divulgação e comun. em Eng Transp - NL,Avaliação socioec. e amb. de proj. sist. transp.,,Pedologia,,,,,,,,,,,,,,,,,,,,
10h00-10h50,Geotecnia 2,Divulgação e comun. em Eng Transp - NL,Gestão de projetos - Reoferta,,Pedologia,,,,,,,,,,,,,,,,,,,,
10h50-11h40,Geotecnia 2,Divulgação e comun. em Eng Transp - NL,Gestão de projetos - Reoferta,,Pedologia,,,,,,,,,,,,,,,,,,,,
12h00-13h00,,,,,,,,,,,,,,,,,,,,,,,,,
13h10-14h00,Geotecnia,,Geotecnia,Técnicas analíticas em geociências,Classificação e estruturas superficiais,,,,,,,,,,,,,,,,,,,,
14h00-14h50,Geotecnia,,Geotecnia,Técnicas analíticas em geociências,Classificação e estruturas superficiais,,,,,,,,,,,,,,,,,,,,
15h00-16h00,Geotecnia,,Geotecnia,,,,,,,,,,,,,,,,,,,,,,
16h00-16h50,Geotecnia,,Geotecnia,,,,,,,,,,,,,,,,,,,,,,
16h50-17h40,,,,,,,,,,,,,,,,,,,,,,,,,
18h00-18h50,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
